id,Торг_точка_чистый_адрес
470,"г Ростов-на-Дону ул Лермонтовская 89а"
471,"344009 г Ростов-на-Дону ул Зеленая 27а"
472,"344009, г. Ростов-на-Дону, ул. Зеленая, 27а"
473,"ООО "Таганрогская Торговая Компания" 347902Рост.обл.г.Таганрог Николаевское ш1/1"
474,"ООО "Таганрогская Торговая Компания",347902Рост.обл.г.Таганрог, Николаевское ш1/1"
475,"Аксай, ул. Садовая 22а"
476,"г.Ростов-на-Дону, ул.Штахановского, 21/3"
477,"ООО"Универсальная база" 347800Рост. обл. г.Каменск-Шахтинский ул.2-я Линия"
478,"ООО"Универсальная база",347800Рост. обл.,г.Каменск-Шахтинский ул.2-я Линия"
479,"344006 г.Ростов-на-Дону ул.Социалистическая,114-116/22"
480,"344006 г Ростов-на-Дону ул Социалистическая 114-116/22"
481,"ООО "ФИРМА ОРБИТА", 3477800,Ростовская обл., г.Каменск-Шахтинский, ул.Героев Пионеров, 25"
482,"Азов, спуск Невского, 1"
483,"347800 Ростовская обл.г.Каменск-шахтинский ул.Геронв Пионеров д.25"
484,"г.Ростов н/Д, Социалистическая, 127"
485,"г.Азов, пер.Колонтаевский, 141"
486,"354208 РФ Краснодарский край г. Сочи ул. Магистральная б/о "Сокол""
487,"354208, РФ, Краснодарский край, г. Сочи, ул. Магистральная, б/о "Сокол""
488,"г.Ростов на Дону ул. Обьединённая 77/1а"
489,"ООО ТД "Император",346330,Рост.обл.,г.Донецк,ул.Горького,67а"
490,Кагальницкая
